Miramar,Battery Park,4.0 star rating,"
            137 reviews
    ","
Seafood,
                    Mediterranean
",$$
Thai Sliders & Co.,Financial District,4.0 star rating,"
            275 reviews
    ","
Thai,
                    Salad,
                    Noodles
",$$
Teppen Ramen,Midtown East,4.5 star rating,"
            164 reviews
    ","
Ramen
",$$
CUPER,DUMBO,4.0 star rating,"
            41 reviews
    ","
Salad,
                    Sandwiches,
                    Wine Bars
",$$
Tartinery Hudson Eats,Battery Park,4.0 star rating,"
            348 reviews
    ","
French
",$$
Raku,East Village,4.5 star rating,"
            691 reviews
    ","
Japanese,
                    Noodles
",$$
Benemon,East Village,4.5 star rating,"
            389 reviews
    ","
Japanese,
                    Comfort Food,
                    Tapas/Small Plates
",$$
Shinsen,Chinatown,4.0 star rating,"
            65 reviews
    ","
Sushi Bars
",$$
Woorijip Authentic Korean Food,Koreatown,4.0 star rating,"
            2405 reviews
    ","
Korean
",$
Chouchou,East Village,4.0 star rating,"
            85 reviews
    ","
Moroccan,
                    Mediterranean
",$$$
Minetta Tavern,Greenwich Village,4.0 star rating,"
            1987 reviews
    ","
French,
                    American (New),
                    Breakfast & Brunch
",$$$
Celestine,DUMBO,4.0 star rating,"
            83 reviews
    ","
Mediterranean,
                    Bars
",$$
Toro Loco,Financial District,4.0 star rating,"
            50 reviews
    ","
Cocktail Bars,
                    Mexican
",$$
Jack the Horse Tavern,Brooklyn Heights,4.0 star rating,"
            343 reviews
    ","
American (New),
                    Bars
",$$$
BoCaphe,SoHo,4.0 star rating,"
            794 reviews
    ","
Vietnamese,
                    Breakfast & Brunch,
                    French
",$$
Gersi,Carroll Gardens,4.5 star rating,"
            169 reviews
    ","
Italian,
                    Wine Bars,
                    Breakfast & Brunch
",$$
The Flatiron Room,Flatiron,4.5 star rating,"
            671 reviews
    ","
Lounges,
                    Jazz & Blues,
                    American (Traditional)
",$$$
Calle Dao - Chelsea,Chelsea,4.5 star rating,"
            286 reviews
    ","
Cuban,
                    Chinese,
                    Asian Fusion
",$$
Ella Kitchen & Bar,Upper West Side,4.0 star rating,"
            379 reviews
    ","
Tapas/Small Plates,
                    American (New),
                    Mediterranean
",$$
Silver Factory,Williamsburg - South Side,5.0 star rating,"
            79 reviews
    ","
Korean,
                    Bars
",$$
Babbo,Greenwich Village,4.0 star rating,"
            2216 reviews
    ","
Italian,
                    Bars
",$$$$
Peaches HotHouse,Bedford Stuyvesant,4.0 star rating,"
            966 reviews
    ","
Southern,
                    American (Traditional),
                    Bars
",$$
Kori Tribeca,TriBeCa,4.0 star rating,"
            445 reviews
    ","
Korean,
                    Desserts,
                    Tapas/Small Plates
",$$
Gentleman Farmer - Fort Greene,Fort Greene,4.5 star rating,"
            112 reviews
    ","
American (New),
                    French,
                    Bars
",$$$
The Saint Austere,Williamsburg - North Side,4.5 star rating,"
            334 reviews
    ","
Tapas Bars,
                    Italian
",$$
Boqueria Restaurant - Flatiron,Flatiron,4.0 star rating,"
            1120 reviews
    ","
Spanish,
                    Tapas Bars,
                    Wine Bars
",$$$
Le Parisien,Murray Hill,4.0 star rating,"
            850 reviews
    ","
French
",$$
Tenichi Ramen Cobble Hill,Cobble Hill,4.5 star rating,"
            9 reviews
    ","
Ramen,
                    Poke
",
Warude,Bedford Stuyvesant,4.5 star rating,"
            12 reviews
    ","
Japanese,
                    Tacos,
                    American (Traditional)
",
Macao,TriBeCa,4.0 star rating,"
            666 reviews
    ","
Asian Fusion,
                    Portuguese,
                    Chinese
",$$$
The Beast Next Door,Long Island City,4.5 star rating,"
            141 reviews
    ","
Bars,
                    American (New)
",$$
District Social,Midtown West,4.0 star rating,"
            418 reviews
    ","
Bars,
                    American (New)
",$$
Excuse My French,Lower East Side,4.5 star rating,"
            210 reviews
    ","
Bars,
                    Tapas Bars,
                    French
",$$
Stone Park Cafe,Park Slope,4.0 star rating,"
            837 reviews
    ","
American (New),
                    Breakfast & Brunch,
                    Venues & Event Spaces
",$$
Pio Pio 8,Hell's Kitchen,4.0 star rating,"
            2055 reviews
    ","
Latin American,
                    Peruvian
",$$
Shuka,South Village,4.5 star rating,"
            182 reviews
    ","
Mediterranean,
                    Cocktail Bars
",$$
Gato,NoHo,4.0 star rating,"
            976 reviews
    ","
Mediterranean,
                    Spanish,
                    Bars
",$$$
The Atlantic Boat Club,Crown Heights,4.0 star rating,"
            14 reviews
    ","
Seafood
",
Hard Times,,4.0 star rating,"
            316 reviews
    ","
Breakfast & Brunch,
                    Comfort Food,
                    Whiskey Bars
",$$
High Street On Hudson,West Village,4.0 star rating,"
            320 reviews
    ","
American (New),
                    Wine Bars
",$$
Lillie’s Victorian Establishment,Theater District,4.0 star rating,"
            1240 reviews
    ","
Bars,
                    Gastropubs,
                    Burgers
",$$
The Blue Light Speak Cheesy,Crown Heights,4.5 star rating,"
            65 reviews
    ","
Sandwiches,
                    Breakfast & Brunch
",$
Habana Outpost,Fort Greene,4.0 star rating,"
            932 reviews
    ","
Cuban
",$$
Maiella,Hunters Point,4.0 star rating,"
            623 reviews
    ","
Italian,
                    Seafood,
                    Breakfast & Brunch
",$$$
The Sea Fire Grill,Midtown East,4.5 star rating,"
            827 reviews
    ","
Seafood,
                    Steakhouses,
                    Bars
",$$$
Benson’s NYC,Lower East Side,4.5 star rating,"
            291 reviews
    ","
American (New),
                    Breakfast & Brunch,
                    Burgers
",$$
Noodle Village,Chinatown,4.0 star rating,"
            819 reviews
    ","
Chinese,
                    Noodles
",$
Henry’s End,Brooklyn Heights,4.0 star rating,"
            315 reviews
    ","
American (New),
                    Diners,
                    Wine Bars
",$$$
Khe-Yo,TriBeCa,4.0 star rating,"
            591 reviews
    ","
Laotian
",$$$
Ippudo Westside,Theater District,4.0 star rating,"
            3184 reviews
    ","
Ramen
",$$
AlMar,DUMBO,4.0 star rating,"
            334 reviews
    ","
Italian,
                    Breakfast & Brunch,
                    Cocktail Bars
",$$
Baron’s,Bedford Stuyvesant,4.5 star rating,"
            193 reviews
    ","
American (New),
                    Bars,
                    Seafood
",$$
The NoMad Restaurant,Flatiron,4.0 star rating,"
            1334 reviews
    ","
French,
                    American (New),
                    Gastropubs
",$$$
Freemans,Lower East Side,4.0 star rating,"
            1884 reviews
    ","
Breakfast & Brunch,
                    Lounges,
                    American (Traditional)
",$$
White Oak Tavern,Greenwich Village,4.0 star rating,"
            262 reviews
    ","
Bars,
                    Comfort Food,
                    American (Traditional)
",$$
The Brooklyn Tree,East Williamsburg,4.5 star rating,"
            96 reviews
    ","
American (Traditional),
                    Comfort Food
",$$
The Eddy,East Village,4.5 star rating,"
            333 reviews
    ","
American (New),
                    Cocktail Bars,
                    Wine Bars
",$$$
Izakaya MEW,Midtown West,4.0 star rating,"
            1802 reviews
    ","
Tapas Bars,
                    Sushi Bars,
                    Izakaya
",$$
Gallito’s Kitchen,Brooklyn Heights,4.0 star rating,"
            240 reviews
    ","
Mexican
",$$
Sweet Chick,Williamsburg - North Side,4.0 star rating,"
            1651 reviews
    ","
Southern,
                    Breakfast & Brunch,
                    American (Traditional)
",$$
Nish Nush,TriBeCa,4.5 star rating,"
            615 reviews
    ","
Middle Eastern,
                    Moroccan,
                    Greek
",$$
Bogota Latin Bistro,Park Slope,4.0 star rating,"
            1916 reviews
    ","
Gluten-Free,
                    Colombian
",$$
Hakata Tonton,West Village,4.0 star rating,"
            908 reviews
    ","
Japanese
",$$
Clinton Hall,Financial District,4.0 star rating,"
            469 reviews
    ","
American (New),
                    Beer Gardens,
                    Beer Bar
",$$
Macoletta,Astoria,5.0 star rating,"
            24 reviews
    ","
Pizza
",$$
The Warren,West Village,4.0 star rating,"
            177 reviews
    ","
Gastropubs
",$$
Miriam,Park Slope,4.0 star rating,"
            856 reviews
    ","
Wine Bars,
                    Mediterranean,
                    Breakfast & Brunch
",$$
Meadowsweet,Williamsburg - South Side,4.0 star rating,"
            291 reviews
    ","
American (Traditional)
",$$$
La Contenta,Lower East Side,4.5 star rating,"
            607 reviews
    ","
Mexican,
                    Bars,
                    Breakfast & Brunch
",$$
Char House,Chinatown,4.5 star rating,"
            50 reviews
    ","
Steakhouses
",$$$
MangoSeed Restaurant,Flatbush,4.0 star rating,"
            704 reviews
    ","
Caribbean,
                    Breakfast & Brunch,
                    Cocktail Bars
",$$
Sugar Freak,Astoria,4.0 star rating,"
            1404 reviews
    ","
Cajun/Creole,
                    Southern,
                    Breakfast & Brunch
",$$
5ive Spice,Park Slope,4.0 star rating,"
            448 reviews
    ","
Vietnamese,
                    Coffee & Tea,
                    Salad
",$$
Cafe Mogador,Williamsburg - North Side,4.5 star rating,"
            967 reviews
    ","
Moroccan
",$$
Buvette,West Village,4.0 star rating,"
            1469 reviews
    ","
French,
                    Wine Bars,
                    Cocktail Bars
",$$
L’Appart,Battery Park,5.0 star rating,"
            76 reviews
    ","
French
",$$$$
Beatstro,Mott Haven,4.5 star rating,"
            16 reviews
    ","
Lounges,
                    American (Traditional)
",$$
Burger & Barrel,SoHo,3.5 star rating,"
            759 reviews
    ","
Burgers,
                    American (Traditional)
",$$
La Vara,Cobble Hill,4.0 star rating,"
            306 reviews
    ","
Spanish
",$$$
Gotham Bar and Grill,Union Square,4.5 star rating,"
            1445 reviews
    ","
American (New),
                    Bars
",$$$$
La Cigogne,Carroll Gardens,4.0 star rating,"
            307 reviews
    ","
French,
                    Cocktail Bars
",$$
Mominette,Bushwick,4.0 star rating,"
            527 reviews
    ","
French,
                    Cocktail Bars,
                    Seafood
",$$
Naya,,4.5 star rating,"
            93 reviews
    ","
Lebanese
",$
Barbuto,West Village,4.0 star rating,"
            826 reviews
    ","
Italian,
                    American (New)
",$$$
Jin Ramen,Upper West Side,4.0 star rating,"
            658 reviews
    ","
Ramen
",$$
Barn Joo,Union Square,4.0 star rating,"
            1250 reviews
    ","
Korean,
                    Barbeque,
                    Cocktail Bars
",$$
Las Ramblas,West Village,4.0 star rating,"
            660 reviews
    ","
Tapas/Small Plates
",$$
JoJu,Elmhurst,4.5 star rating,"
            1403 reviews
    ","
Vietnamese,
                    Sandwiches,
                    Asian Fusion
",$
Her Name Is Han,Midtown East,4.0 star rating,"
            878 reviews
    ","
Korean,
                    Breakfast & Brunch,
                    Cocktail Bars
",$$
Vitae,Midtown East,4.0 star rating,"
            735 reviews
    ","
American (New),
                    Wine Bars,
                    Venues & Event Spaces
",$$$
Raclette,East Village,4.0 star rating,"
            944 reviews
    ","
Sandwiches,
                    French
",$$
Piacere,Little Italy,4.0 star rating,"
            620 reviews
    ","
Pizza,
                    Italian
",$$
Libertador,Cobble Hill,4.0 star rating,"
            183 reviews
    ","
Argentine,
                    American (New)
",$$
La Slowteria,Carroll Gardens,4.0 star rating,"
            193 reviews
    ","
Mexican
",$$
Hao Noodle Chelsea,Meatpacking District,5.0 star rating,"
            16 reviews
    ","
Chinese,
                    Barbeque,
                    Noodles
",$$
Adrienne’s Pizzabar,Financial District,4.0 star rating,"
            1430 reviews
    ","
Pizza,
                    Italian,
                    Beer Bar
",$$
De Mole,Williamsburg - North Side,4.5 star rating,"
            11 reviews
    ","
Mexican
",
Lure Fishbar - New York,SoHo,4.0 star rating,"
            1475 reviews
    ","
Seafood,
                    Sushi Bars,
                    Bars
",$$$
Barn Joo 35,Midtown West,4.5 star rating,"
            1019 reviews
    ","
Korean,
                    Gastropubs,
                    Tapas/Small Plates
",$$
Grazie,Upper East Side,4.0 star rating,"
            304 reviews
    ","
Italian
",$$
Greedi Vegan,Crown Heights,4.5 star rating,"
            38 reviews
    ","
Vegan,
                    Vegetarian
",$$
Veronica’s Kitchen,Financial District,4.0 star rating,"
            147 reviews
    ","
Soul Food,
                    Food Stands,
                    Trinidadian
",$
Denizen,Williamsburg - North Side,4.5 star rating,"
            91 reviews
    ","
Wine Bars,
                    Tapas/Small Plates,
                    Specialty Food
",$$
Pearl’s,Williamsburg - North Side,4.0 star rating,"
            353 reviews
    ","
Caribbean,
                    Cocktail Bars
",$$
Izakaya NoMad,Flatiron,4.0 star rating,"
            561 reviews
    ","
Gastropubs,
                    Izakaya,
                    Bars
",$$
Union Bar & Kitchen,South Village,4.0 star rating,"
            273 reviews
    ","
American (New),
                    Bars,
                    Breakfast & Brunch
",$$
Olio e Piú,West Village,4.0 star rating,"
            1178 reviews
    ","
Pizza,
                    Italian,
                    Breakfast & Brunch
",$$
Barbalu Restaurant,South Street Seaport,4.0 star rating,"
            218 reviews
    ","
Italian,
                    Coffee & Tea
",$$
Boulud Sud,Upper West Side,4.0 star rating,"
            643 reviews
    ","
Mediterranean
",$$$
Trinity Place,Financial District,4.0 star rating,"
            300 reviews
    ","
American (New),
                    Irish Pub
",$$
The Tuck Room,South Street Seaport,4.0 star rating,"
            173 reviews
    ","
Tapas/Small Plates,
                    American (New),
                    Cocktail Bars
",$$$
